effect	post.mean	l-95% CI	u-95% CI	eff.samp	pMCMC	model_name
infection_routeSkin	2.058	0.821	3.602	2000	0.002	secretion-systems
generation_time_h	-1.8e-02	-8.4e-02	0.058	2000	0.602	secretion-systems
nb_cds	 1.6e-04	-1.5e-04	4.9e-04	2000	0.33	secretion-systems
focal_trait	0.014	-2.5e-02	0.058	2146.978	0.48	secretion-systems
species_id	0.592	 5.1e-07	2.032	1861.639	NA	virulence-factors
units	1.383	0.61	2.176	2000	NA	virulence-factors
infection_routeIngestion	-1.5e-01	-1.7e+00	1.143	2000	0.837	virulence-factors
infection_routeInhalation	2.31	0.925	3.981	2154.096	0.004	virulence-factors
infection_routeSkin	1.987	0.63	3.265	2156.13	0.007	virulence-factors
generation_time_h	-2.0e-02	-8.7e-02	0.058	2000	0.566	virulence-factors
nb_cds	 2.0e-04	-1.0e-04	4.7e-04	2000	0.172	virulence-factors
focal_trait	0.001	-3.9e-03	0.006	2000	0.654	virulence-factors
species_id	0.669	 8.4e-07	2.385	2000	NA	multivariate-model
units	1.429	0.581	2.338	2000	NA	multivariate-model
infection_routeIngestion	0.662	-2.3e-01	1.495	2000	0.132	multivariate-model
infection_routeInhalation	3.117	1.94	4.376	2000	5.0e-04	multivariate-model
infection_routeSkin	2.948	1.824	4.158	2288.259	5.0e-04	multivariate-model
generation_time_h	-3.0e-02	-1.1e-01	0.054	1956.142	0.487	multivariate-model
z_nb_cds	-5.2e-02	-1.2e+00	0.921	2140.838	0.917	multivariate-model
z_biofilm	-5.4e-01	-1.6e+00	0.405	2000	0.264	multivariate-model
z_quorum_sensing	0.188	-4.2e-01	0.781	2000	0.529	multivariate-model
z_antibiotic_degradation	-8.9e-03	-7.4e-01	0.76	2000	0.973	multivariate-model
z_secretion_system	0.264	-2.9e-01	0.764	2000	0.321	multivariate-model
z_siderophores	0.013	-8.1e-01	0.83	2000	0.974	multivariate-model
z_secretome	0.404	-4.4e-01	1.249	2000	0.34	multivariate-model
z_is_victor_vf	0.384	-2.7e-01	1.075	2241.316	0.246	multivariate-model
