Legget_species	facultative_vs_obligate	immune_subversion	generation_time_h	case_fatality_rate	QS_virulence	infection_route	effect_symptoms_on_transmission	motility	infective_dose	species_id	genome_id	matching_supfam_id	gram_profile	total_cds	biofilm	antibiotic_degradation	quorum_sensing	siderophores	secretion_system	secretome	is_victor_vf
Francisella tularensis subsp. tularensis	Facultative	1	3	14	1	Inhalation	Hinders	0	7.5	Francisella_tularensis_subsp._tularensis_genome_418136.12	418136.12	3a	n	2082	9	4	0	1	2	24	327
Gardnerella vaginalis	Facultative	0	13.5	0	1	Skin	Helps	0	2e+10	Gardnerella_vaginalis_genome_525284.18	525284.18	gF	p	1345	2	1	1	0	0	17	0
Haemophilus ducreyi	Obligate	1	1.8	0	0	Skin	Helps	1	30	Haemophilus_ducreyi_genome_233412.5	233412.5	hd	n	1705	4	2	1	1	0	8	45
Helicobacter pylori	Obligate	1	2.4	3	0	Ingestion	Helps	1	10000	Helicobacter_pylori_genome_1407463.3	1407463.3	7mp	n	1701	0	10	1	1	1	27	64
Legionella pneumophila	Obligate	1	3.3	17.5	1	Inhalation	No effect	1	140000	Legionella_pneumophila_genome_400673.7	400673.7	2w	n	3438	7	11	2	3	11	43	25
Listeria monocytogenes	Obligate	1	1	30	1	Ingestion	No effect	1	1000	Listeria_monocytogenes_genome_930782.3	930782.3	avB	p	3404	10	0	2	0	1	54	91
Mycobacterium tuberculosis	Obligate	1	19	50	0	Inhalation	Helps	0	10	Mycobacterium_tuberculosis_genome_216594.6	216594.6	mb	OM+	5880	14	8	0	8	4	184	142
Mycoplasma pneumoniae	Obligate	0	6	36.3	0	Inhalation	Helps	1	5050000	Mycoplasma_pneumoniae_genome_272634.6	272634.6	mp	woOM-	755	0	0	0	0	0	14	0
Neisseria gonorrhoeae	Obligate	1	0.58	0	0	Skin	Hinders	0	1050	Neisseria_gonorrhoeae_genome_242231.10	242231.1	ni	n	2628	24	5	1	7	2	7	57
Neisseria meningitidis	Obligate	0	0.72	20.3	0	Inhalation	No effect	0	1000	Neisseria_meningitidis_genome_272831.7	272831.7	19	n	2662	10	5	1	8	4	14	63
Orientia tsutsugamushi	Facultative	1	9	60	0	Skin	Hinders	0	3	Orientia_tsutsugamushi_genome_357244.4	357244.4	2q	n	2364	0	0	0	0	1	7	0
Pseudomonas aeruginosa	Facultative	0	0.5	47	1	Skin	Helps	1	1000	Pseudomonas_aeruginosa_genome_208964.400	208964.4	pa	n	5734	40	16	3	28	58	78	106
Rickettsia conorii	Obligate	1	4.1	2.1	0	Skin	Hinders	0	10	Rickettsia_conorii_genome_272944.4	272944.4	rc	n	1578	1	1	0	0	1	13	2
Rickettsia prowazekii	Obligate	1	10	30	0	Skin	Hinders	0	10	Rickettsia_prowazekii_genome_1290427.3	1290427.3	I6w	n	926	0	0	0	0	1	6	3
Rickettsia rickettsii	Obligate	1	9	65	0	Skin	Hinders	0	10	Rickettsia_rickettsii_genome_392021.5	392021.5	6b	n	1577	1	1	0	0	1	12	2
Salmonella enterica subsp. enterica serovar Paratyphi	Obligate	1	0.4	4	0	Ingestion	No effect	1	1000	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_genome_990282.21	990282.21	xaB	n	5050	44	13	3	15	15	77	330
Salmonella enterica subsp. enterica serovar Typhi	Obligate	1	0.4	4	0	Ingestion	No effect	1	1e+05	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_genome_554290.17	554290.17	kh	n	4896	41	7	3	13	13	71	314
Salmonella enterica subsp. enterica serovar Typhimurium	Facultative	1	0.4	4	1	Ingestion	Helps	1	1e+05	Salmonella_enterica_Typhi_genome_220341.7	220341.7	si	n	5297	39	11	3	15	13	75	317
Shigella dysenteriae	Obligate	1	0.67	0.6	0	Ingestion	Helps	0	10	Shigella_dysenteriae_genome_754093.4	754093.4	cIt	n	6315	27	7	2	22	14	82	284
Shigella flexneri	Obligate	1	0.68	0.1	0	Ingestion	Helps	0	100	Shigella_flexneri_genome_198214.7	198214.7	s0	n	5527	44	13	3	22	3	84	288
Shigella sonnei	Obligate	1	0.5	0.9	0	Ingestion	Helps	0	75	Shigella_sonnei_genome_216599.12	216599.12	Qf7	n	5483	53	18	4	22	4	81	276
Staphylococcus aureus subsp. aureus	Facultative	1	0.4	4	1	Ingestion	No effect	0	1e+05	Staphylococcus_aureus_subsp._aureus_genome_359787.11	359787.11	1i	p	2839	12	5	2	6	0	103	36
Streptococcus pyogenes	Obligate	1	0.4	19	1	Inhalation	No effect	0	1000	Streptococcus_pyogenes_genome_160491.19	160491.19	4z	p	1935	7	4	1	0	1	32	56
Treponema pallidum	Obligate	1	33	3.17	0	Skin	Helps	1	57	Treponema_pallidum_genome_243276.5	243276.5	tp	n	1099	2	0	0	0	1	11	0
Vibrio cholerae	Obligate	0	0.2	0.9	1	Ingestion	Helps	1	3.33e+10	Vibrio_cholerae_genome_914149.18	914149.18	w4y	n	3643	10	6	1	13	18	46	132
Vibrio parahaemolyticus	Facultative	0	0.2	0.01	1	Ingestion	No effect	1	5.5e+07	Vibrio_parahaemolyticus_genome_1211705.3	1211705.3	AXA	n	4626	7	9	2	10	34	65	65
Vibrio vulnificus	Facultative	1	0.16	39	1	Ingestion	Helps	1	100	Vibrio_vulnificus_genome_216895.17	216895.17	vv	n	4808	9	9	1	9	21	55	62
Yersinia enterocolitica	Facultative	1	0.55	0.5	1	Ingestion	Helps	1	1e+06	Yersinia_enterocolitica_genome_930944.6	930944.6	95D	n	4424	35	5	4	7	27	81	120
Yersinia pestis	Facultative	1	1.25	90	1	Skin	Helps	0	10	Yersinia_pestis_genome_360102.15	360102.15	ys	n	4780	27	5	5	16	31	87	135
Yersinia pseudotuberculosis	Facultative	1	0.5	0.5	1	Ingestion	No effect	0	1e+06	Yersinia_pseudotuberculosis_genome_349747.9	349747.9	06	n	4749	28	5	6	13	15	76	108
