Legget_species	matching_supfam_id	genome_name	genome_id	file_name_record	note	gram_profile
Escherichia coli EAEC	kt	Escherichia coli 55989	585055.56	Escherichia_coli_EaggEC_genome_585055.56		n
Escherichia coli EHEC	e1	Escherichia coli O157:H7 str. EDL933	155864.21	Escherichia_coli_EHEC_genome_155864.210		n
Escherichia coli EIEC	NA	NA	NA	NA	did not find EIEC pathovar explicitly in PATRIC	n
Escherichia coli EPEC	NA	NA	NA	NA	did not find EPEC pathovar explicitly in PATRIC	n
Escherichia coli ETEC	6l	Escherichia coli E24377A	331111.12	Escherichia_coli_ETEC_genome_331111.12		n
Francisella tularensis subsp. holarctica	h1y	Francisella tularensis subsp. holarctica FSC200	351581.3	Francisella_tularensis_holarctica_genome_351581.3		n
Francisella tularensis subsp. tularensis	3a	Francisella tularensis subsp. tularensis WY96-3418	418136.12	Francisella_tularensis_subsp._tularensis_genome_418136.12		n
Gardnerella vaginalis	gF	Gardnerella vaginalis ATCC 14019	525284.18	Gardnerella_vaginalis_genome_525284.18		p
Giardia lamblia	NA	NA	NA	NA	not bacteria	NA
Haemophilus ducreyi	hd	Haemophilus ducreyi 35000HP	233412.5	Haemophilus_ducreyi_genome_233412.5		n
Helicobacter pylori	7mp	Helicobacter pylori BM012S	1407463.3	Helicobacter_pylori_genome_1407463.3		n
Histoplasma capsulatum	NA	NA	NA	NA	not bacteria	NA
Legionella pneumophila	2w	Legionella pneumophila str. Corby	400673.7	Legionella_pneumophila_genome_400673.7		n
Listeria monocytogenes	avB	Listeria monocytogenes J1-220	930782.3	Listeria_monocytogenes_genome_930782.3		p
Mycobacterium tuberculosis	mb	Mycobacterium tuberculosis H37Rv	216594.6	Mycobacterium_tuberculosis_genome_216594.6		OM+
Mycoplasma pneumoniae	mp	Mycoplasma pneumoniae M129	272634.6	Mycoplasma_pneumoniae_genome_272634.6		woOM-
Neisseria gonorrhoeae	ni	Neisseria gonorrhoeae FA 1090	242231.1	Neisseria_gonorrhoeae_genome_242231.10		n
Neisseria meningitidis	19	Neisseria meningitidis FAM18	272831.7	Neisseria_meningitidis_genome_272831.7		n
Orientia tsutsugamushi	2q	Orientia tsutsugamushi str. Boryong	357244.4	Orientia_tsutsugamushi_genome_357244.4		n
Plasmodium falciparum	NA	NA	NA	NA	not a bacteria	NA
Plesiomonas shigelloides	NA	NA	NA	NA	not found in supfam	NA
Pseudomonas aeruginosa	pa	Pseudomonas aeruginosa PAO1	208964.4	Pseudomonas_aeruginosa_genome_208964.400		n
Rickettsia conorii	rc	Rickettsia conorii str. Malish 7	272944.4	Rickettsia_conorii_genome_272944.4		n
Rickettsia prowazekii	I6w	Rickettsia prowazekii str. NMRC Madrid E	1290427.3	Rickettsia_prowazekii_genome_1290427.3		n
Rickettsia rickettsii	6b	Rickettsia rickettsii str. 'Sheila Smith'	392021.5	Rickettsia_rickettsii_genome_392021.5		n
Salmonella enterica subsp. enterica serovar Typhi	kh	Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601	554290.17	Salmonella_enterica_subsp._enterica_serovar_Paratyphi_genome_554290.17		n
Salmonella enterica subsp. enterica serovar Typhimurium	si	Salmonella enterica subsp. enterica serovar Typhi str. CT18	220341.7	Salmonella_enterica_Typhi_genome_220341.7		n
Salmonella enterica subsp. enterica serovar Paratyphi	xaB	Salmonella enterica subsp. enterica serovar Typhimurium str. UK-1	990282.21	Salmonella_enterica_subsp._enterica_serovar_Typhimurium_genome_990282.21		n
Shigella dysenteriae	cIt	Shigella dysenteriae 1617	754093.4	Shigella_dysenteriae_genome_754093.4		n
Shigella flexneri	s0	Shigella flexneri 2a str. 301	198214.7	Shigella_flexneri_genome_198214.7		n
Shigella sonnei	Qf7	Shigella sonnei 53G	216599.12	Shigella_sonnei_genome_216599.12		n
Staphylococcus aureus subsp. aureus	1i	Staphylococcus aureus subsp. aureus JH1	359787.11	Staphylococcus_aureus_subsp._aureus_genome_359787.11		p
Stenotrophomonas maltophilia pneumoniae	9i	Stenotrophomonas maltophilia K279a	522373.3	Stenotrophomonas_maltophilia_pneumoniae_genome_522373.3		n
Streptococcus pyogenes	4z	Streptococcus pyogenes str. Manfredo	160491.19	Streptococcus_pyogenes_genome_160491.19		p
Treponema pallidum	tp	Treponema pallidum subsp. pallidum str. Nichols	243276.5	Treponema_pallidum_genome_243276.5		n
Vibrio cholerae	w4y	Vibrio cholerae O1 str. 2010EL-1786	914149.18	Vibrio_cholerae_genome_914149.18		n
Vibrio parahaemolyticus	AXA	Vibrio parahaemolyticus BB22OP	1211705.3	Vibrio_parahaemolyticus_genome_1211705.3		n
Vibrio vulnificus	vv	Vibrio vulnificus CMCP6	216895.17	Vibrio_vulnificus_genome_216895.17		n
Yersinia enterocolitica	95D	Yersinia enterocolitica subsp. palearctica Y11	930944.6	Yersinia_enterocolitica_genome_930944.6		n
Yersinia pestis	ys	Yersinia pestis Antiqua	360102.15	Yersinia_pestis_genome_360102.15		n
Yersinia pseudotuberculosis	06	Yersinia pseudotuberculosis IP 31758	349747.9	Yersinia_pseudotuberculosis_genome_349747.9		n
